hr1-112,h110-2011,112,2011-02-19T02:16:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll110.xml,241_185_7_0,238_0_2_0,3_185_5_0,None
hr1-112,h111-2011,112,2011-02-19T02:19:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll111.xml,215_210_8_0,210_28_2_0,5_182_6_0,None
hr1-112,h112-2011,112,2011-02-19T02:22:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll112.xml,91_333_9_0,25_213_2_0,66_120_7_0,None
hr1-112,h113-2011,112,2011-02-19T02:26:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll113.xml,227_197_9_0,219_18_3_0,8_179_6_0,None
hr1-112,h114-2011,112,2011-02-19T02:29:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll114.xml,185_241_7_0,51_187_2_0,134_54_5_0,None
hr1-112,h115-2011,112,2011-02-19T02:32:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll115.xml,277_149_7_0,236_2_2_0,41_147_5_0,None
hr1-112,h116-2011,112,2011-02-19T02:35:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll116.xml,241_184_8_0,198_39_3_0,43_145_5_0,None
hr1-112,h117-2011,112,2011-02-19T02:38:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll117.xml,32_394_7_0,6_232_2_0,26_162_5_0,None
hr1-112,h118-2011,112,2011-02-19T02:41:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll118.xml,74_351_8_0,5_232_3_0,69_119_5_0,None
hr1-112,h119-2011,112,2011-02-19T02:44:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll119.xml,239_186_8_0,228_9_3_0,11_177_5_0,None
hr1-112,h120-2011,112,2011-02-19T02:47:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll120.xml,230_195_8_0,222_15_3_0,8_180_5_0,None
hr1-112,h121-2011,112,2011-02-19T02:50:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll121.xml,241_184_8_0,236_1_3_0,5_183_5_0,None
hr1-112,h122-2011,112,2011-02-19T02:53:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll122.xml,63_362_8_0,63_174_3_0,0_188_5_0,None
hr1-112,h123-2011,112,2011-02-19T02:56:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll123.xml,237_189_7_0,221_17_2_0,16_172_5_0,None
hr1-112,h124-2011,112,2011-02-19T02:59:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll124.xml,231_191_11_0,215_21_4_0,16_170_7_0,None
