L000578,96.2,12,473,2.5,3,24,4.9
L000579,96.6,16,854,0.9,3,29,3.3
L000580,93.6,29,420,4.2,3,14,3.1
L000581,97.9,11,253,1.5,1,3,1.1
L000582,97.1,9,286,6.8,1,5,1.7
L000583,94.2,4,109,2.1,1,2,1.8
L000584,96.1,5,98,1.0,1,2,1.9
L000585,96.8,0,24,0.0,1,0,0.0
M000087,95.8,121,884,4.6,23,51,5.1
M000133,94.3,147,732,11.8,41,30,3.4
M000303,87.1,61,311,4.3,33,8,2.2
M000309,92.7,22,477,40.4,19,43,8.6
M000312,95.5,26,1528,1.2,19,38,2.4
M000355,90.1,29,224,0.0,31,12,4.7
M000404,94.7,77,1000,2.4,27,31,2.9
M000485,67.6,23,446,4.8,19,29,6.2
M000508,93.6,26,217,3.9,23,37,15.2
M000639,95.5,280,494,1.5,23,17,2.2
M000689,95.1,30,298,0.4,23,46,14.0
M000702,96.5,43,495,3.2,39,11,2.0
M000725,93.3,40,460,6.5,41,33,6.6
M000933,93.3,31,906,4.0,25,38,4.1
M000934,86.3,69,496,4.1,19,19,3.4
M001111,95.6,111,467,2.5,23,20,3.5
M001134,95.5,32,274,9.3,21,11,3.6
M001137,95.5,15,757,11.7,19,56,7.3
M001138,93.3,9,293,6.3,23,16,5.3
M001139,95.1,24,276,23.4,17,37,12.3
M001142,57.2,24,346,0.8,15,31,8.4
M001143,95.0,18,1047,3.6,15,39,3.7
M001144,94.5,66,703,4.1,15,52,6.8
M001149,90.9,39,878,0.4,13,37,4.0
M001150,93.9,33,501,1.1,13,46,8.6
M001151,93.5,49,418,0.8,13,29,6.2
M001153,75.2,148,495,3.9,13,18,2.8
M001154,94.0,6,163,0.8,13,7,4.1
M001155,92.3,16,101,18.4,11,9,7.7
M001156,95.6,14,366,2.7,11,26,6.8
M001157,96.4,47,601,1.2,11,54,8.3
M001158,94.3,24,692,5.6,11,49,6.8
M001159,96.2,45,456,2.2,11,31,6.2
M001160,95.2,32,1088,6.5,11,30,2.7
M001163,95.7,45,678,1.0,11,41,5.7
M001165,96.5,15,87,1.5,9,29,28.4
M001166,93.7,56,561,1.4,9,34,5.5
M001169,93.6,61,549,4.4,9,19,3.1
M001170,85.1,63,390,3.3,9,11,2.4
M001171,82.4,13,214,0.4,7,19,8.4
M001176,93.6,82,663,0.6,7,13,1.7
M001177,89.0,19,575,0.7,7,34,5.7
M001179,94.6,40,514,4.2,5,43,7.8
M001180,91.6,69,610,0.8,5,31,4.6
M001181,89.1,35,491,0.7,5,45,8.6
M001182,89.5,58,616,2.3,5,21,3.1
M001183,75.7,53,352,0.8,6,9,2.2
M001184,80.7,13,254,0.6,4,5,1.9
M001185,87.7,30,438,1.5,3,26,5.6
M001187,94.4,25,426,1.3,3,20,4.4
M001188,96.0,35,438,5.1,3,26,5.5
M001189,95.9,19,343,1.1,3,15,4.1
M001190,96.1,19,286,2.2,3,17,5.6
M001191,86.6,34,548,2.3,3,28,4.8
M001192,94.3,5,56,9.8,3,5,8.2
M001193,89.3,9,131,0.0,1,2,1.4
M001194,95.4,2,91,2.0,1,4,4.3
M001195,92.3,7,100,0.4,1,1,0.9
M001196,95.6,7,114,0.6,1,4,3.3
M001197,91.6,15,154,0.0,1,7,4.1
N000002,95.1,62,820,4.2,24,44,5.0
N000015,96.5,33,509,6.6,27,28,5.2
N000032,94.0,91,359,3.6,37,17,3.8
N000127,93.5,22,488,2.3,41,28,5.5
N000147,N/A,130,1821,N/A,25,44,2.3
N000179,95.7,9,955,6.1,17,45,4.7
N000180,81.8,20,73,0.3,15,3,3.2
N000181,95.1,44,384,1.4,13,41,9.6
N000182,95.5,36,501,1.0,13,39,7.3
N000184,94.7,42,413,3.2,5,31,6.8
N000185,94.8,23,586,3.2,5,38,6.2
N000186,95.9,9,493,14.9,5,33,6.6
N000187,95.1,8,295,17.7,3,22,7.3
N000188,94.7,7,148,0.7,2,2,1.3
N000189,93.1,6,159,0.1,1,5,3.0
O000085,94.6,2,247,10.5,25,9,3.6
O000168,96.4,43,734,1.7,7,47,6.0
O000169,75.1,41,480,1.6,7,45,8.6
O000170,94.8,28,497,0.6,3,23,4.4
P000034,96.0,45,393,3.1,29,32,7.3
P000096,95.9,62,737,4.8,19,37,4.6
P000099,92.8,8,286,7.0,25,21,7.1
P000197,97.1,6,98,8.2,29,21,20.2
P000258,63.0,7,709,1.3,25,35,4.9
P000265,89.4,33,327,0.4,37,29,8.1
P000373,95.5,39,396,1.5,19,32,7.4
P000449,88.4,96,429,1.1,23,21,4.0
P000523,96.1,32,642,0.6,29,21,3.1
P000583,71.2,51,307,56.5,41,10,2.8
P000585,87.6,7,264,3.7,15,13,4.8
P000587,95.3,5,156,9.1,15,13,8.1
P000588,93.7,43,688,1.9,13,27,3.7
P000590,86.0,95,231,1.6,13,9,2.8
P000591,94.8,37,331,1.5,11,26,7.1
P000592,92.8,98,726,3.0,11,48,5.8
P000593,89.6,23,575,3.8,9,33,5.5
P000594,94.4,76,514,0.9,7,47,8.0
P000595,91.1,39,629,3.3,7,33,4.9
P000596,N/A,45,387,N/A,7,22,5.1
P000597,94.9,27,991,2.6,7,25,2.5
P000598,89.7,75,1026,7.5,7,22,2.0
P000599,91.7,63,690,0.4,7,36,4.8
P000601,95.5,18,511,3.1,5,32,6.0
P000602,95.5,34,495,2.8,5,24,4.5
P000603,76.8,127,247,4.1,5,4,1.1
P000604,96.2,20,484,11.3,4,18,3.6
P000605,93.4,19,281,0.8,3,14,4.7
P000606,96.9,12,396,3.1,3,20,4.9
P000607,96.2,26,885,1.8,3,15,1.6
P000608,87.5,48,663,1.4,3,23,3.2
P000609,94.9,3,68,0.4,1,1,1.4
P000610,N/A,6,72,N/A,1,1,1.3
P000611,93.8,9,111,0.6,1,3,2.5
P000612,92.0,5,99,0.0,1,0,0.0
Q000023,94.6,33,747,1.9,7,30,3.8
Q000024,93.4,12,148,4.4,5,13,8.1
R000011,78.2,18,438,1.1,39,30,6.6
R000053,95.3,53,1814,16.8,45,76,4.1
R000122,95.6,114,384,0.1,25,10,2.0
R000146,94.1,61,158,4.8,33,5,2.3
R000170,90.9,9,203,8.1,19,21,9.9
R000307,90.1,61,527,3.4,35,17,2.9
R000361,95.9,97,269,6.9,31,12,3.3
R000395,93.2,15,228,1.7,35,26,10.7
R000409,89.2,31,370,5.4,27,41,10.2
R000435,89.9,58,448,3.5,27,47,9.3
R000462,95.2,15,349,5.8,19,15,4.1
R000486,96.8,34,626,2.3,23,37,5.6
R000487,93.2,61,362,1.4,23,50,11.8
R000515,94.6,34,919,30.4,23,34,3.6
R000570,94.7,14,143,1.9,17,20,12.7
R000571,91.3,19,163,0.4,15,13,7.1
R000572,95.3,28,239,3.6,15,24,9.0
R000573,57.5,29,228,3.8,15,15,5.8
R000575,93.9,10,381,1.4,13,26,6.6
R000576,91.2,24,385,5.7,13,24,5.9
R000577,92.8,41,863,3.7,13,40,4.4
R000578,87.7,68,372,3.2,11,40,9.1
